# best fit: Y =   -106.60000 +      0.06000*X
# covariance matrix: 
# [  39602.00000,    -19.90000 ]
# [    -19.90000,      0.01000 ]
# chisq =      0.80000
data: 1970.0   12.0      3.16228
data: 1980.0   11.0      2.23607
data: 1990.0   14.0      1.82574
data: 2000.0   13.0      1.58114
fit, error: 1961.0   11.06000 +/-   3.06757
fit, error: 1961.3   11.07800 +/-   3.03923
fit, error: 1961.6   11.09600 +/-   3.01091
fit, error: 1961.9   11.11400 +/-   2.98263
fit, error: 1962.2   11.13200 +/-   2.95439
fit, error: 1962.5   11.15000 +/-   2.92617
fit, error: 1962.8   11.16800 +/-   2.89800
fit, error: 1963.1   11.18600 +/-   2.86986
fit, error: 1963.4   11.20400 +/-   2.84176
fit, error: 1963.7   11.22200 +/-   2.81370
fit, error: 1964.0   11.24000 +/-   2.78568
fit, error: 1964.3   11.25800 +/-   2.75770
fit, error: 1964.6   11.27600 +/-   2.72976
fit, error: 1964.9   11.29400 +/-   2.70187
fit, error: 1965.2   11.31200 +/-   2.67402
fit, error: 1965.5   11.33000 +/-   2.64622
fit, error: 1965.8   11.34800 +/-   2.61847
fit, error: 1966.1   11.36600 +/-   2.59077
fit, error: 1966.4   11.38400 +/-   2.56312
fit, error: 1966.7   11.40200 +/-   2.53553
fit, error: 1967.0   11.42000 +/-   2.50799
fit, error: 1967.3   11.43800 +/-   2.48050
fit, error: 1967.6   11.45600 +/-   2.45308
fit, error: 1967.9   11.47400 +/-   2.42572
fit, error: 1968.2   11.49200 +/-   2.39842
fit, error: 1968.5   11.51000 +/-   2.37118
fit, error: 1968.8   11.52800 +/-   2.34401
fit, error: 1969.1   11.54600 +/-   2.31692
fit, error: 1969.4   11.56400 +/-   2.28989
fit, error: 1969.7   11.58200 +/-   2.26294
fit, error: 1970.0   11.60000 +/-   2.23607
fit, error: 1970.3   11.61800 +/-   2.20928
fit, error: 1970.6   11.63600 +/-   2.18257
fit, error: 1970.9   11.65400 +/-   2.15595
fit, error: 1971.2   11.67200 +/-   2.12941
fit, error: 1971.5   11.69000 +/-   2.10297
fit, error: 1971.8   11.70800 +/-   2.07663
