 #   l   Clyphi1h    Clyphi2h    Clyphi    Clphiphi1h    Clphiphi2h    Clphiphi    Clpsilimber 
   10  3.8678319917E-13  1.2718731092E-13  5.1397051009E-13  4.3383405578E-12  5.8444008070E-11  6.2782348628E-11  5.5851995168E-11
   14  2.0257402144E-13  8.0074678718E-14  2.8264870016E-13  1.1902181677E-12  1.8000925922E-11  1.9191144090E-11  1.7239252676E-11
   20  1.0126245900E-13  4.9044071933E-14  1.5030653094E-13  2.9749608271E-13  4.9178657897E-12  5.2153618724E-12  4.7246568328E-12
   29  4.8865357946E-14  2.9077475072E-14  7.7942833018E-14  6.9307738099E-14  1.1995206248E-12  1.2688283629E-12  1.1578103627E-12
   42  2.3526113317E-14  1.6780604610E-14  4.0306717928E-14  1.6073713115E-14  2.7444567295E-13  2.9051938606E-13  2.6669732024E-13
   61  1.1226010247E-14  9.1788115041E-15  2.0404821751E-14  3.6616940856E-15  5.7303775826E-14  6.0965469912E-14  5.6239911085E-14
   88  5.4162497155E-15  4.7053111226E-15  1.0121560838E-14  8.5260950488E-16  1.1251690110E-14  1.2104299615E-14  1.1198121588E-14
  127  2.6067476402E-15  2.1374502189E-15  4.7441978591E-15  1.9748815607E-16  2.0048934940E-15  2.2023816500E-15  2.0326906776E-15
  183  1.2567095553E-15  8.2194927744E-16  2.0786588327E-15  4.5885374696E-17  3.3072816956E-16  3.7661354425E-16  3.4165556990E-16
  263  6.0818169036E-16  2.8260318301E-16  8.9078487337E-16  1.0742271410E-17  5.2192209408E-17  6.2934480818E-17  5.4521055127E-17
  379  2.9215271139E-16  1.0153350734E-16  3.9368621873E-16  2.4792391862E-18  7.6191592574E-18  1.0098398444E-17  8.0674197220E-18
  545  1.4046283397E-16  3.0446020420E-17  1.7090885439E-16  5.7441092492E-19  1.0050051373E-18  1.5794160622E-18  1.1038658426E-18
  784  6.7037766548E-17  8.7027584611E-18  7.5740525009E-17  1.3188762739E-19  1.2646427337E-19  2.5835190076E-19  1.3968555211E-19
 1128  3.1560540933E-17  2.1709163195E-18  3.3731457252E-17  2.9856198474E-20  1.4812878516E-20  4.4669076990E-20  1.6792077114E-20
 1623  1.4459758450E-17  5.0279377283E-19  1.4962552223E-17  6.5865973742E-21  1.6543462431E-21  8.2409436173E-21  1.9161780068E-21
 2335  6.2733500577E-18  1.0904527216E-19  6.3823953299E-18  1.3830614419E-21  1.7630517564E-22  1.5593666176E-21  2.0978006492E-22
 3359  2.4449096645E-18  2.1255728391E-20  2.4661653929E-18  2.6441624938E-22  1.7977418744E-23  2.8239366813E-22  2.2196125193E-23
 4832  7.8227226459E-19  3.5558006125E-21  7.8582806520E-19  4.3000537510E-23  1.7502339655E-24  4.4750771475E-23  2.2794911327E-24
 6951  1.8497027616E-19  4.8450886397E-22  1.8545478502E-19  5.6343678392E-24  1.6317548203E-25  5.7975433212E-24  2.2808062841E-25
10000  3.3146518513E-20  5.4035602375E-23  3.3200554116E-20  6.2047375669E-25  1.4727693235E-26  6.3520144992E-25  2.2294283267E-26
