 # r/R_200       (P_th/P_200) at redshift and mass
  1.0000000000E-02  3.9825780660E+01
  1.0593059869E-02  3.8920216724E+01
  1.1221291740E-02  3.8022632806E+01
  1.1886781521E-02  3.7132735744E+01
  1.2591738831E-02  3.6250244365E+01
  1.3338504329E-02  3.5374890574E+01
  1.4129557493E-02  3.4506420529E+01
  1.4967524845E-02  3.3644595915E+01
  1.5855188678E-02  3.2789195287E+01
  1.6795496290E-02  3.1940015516E+01
  1.7791569774E-02  3.1096873305E+01
  1.8846716378E-02  3.0259606797E+01
  1.9964439494E-02  2.9428077249E+01
  2.1148450282E-02  2.8602170781E+01
  2.2402679998E-02  2.7781800176E+01
  2.3731293045E-02  2.6966906731E+01
  2.5138700800E-02  2.6157462134E+01
  2.6629576262E-02  2.5353470364E+01
  2.8208869564E-02  2.4554969565E+01
  2.9881824413E-02  2.3762033910E+01
  3.1653995502E-02  2.2974775378E+01
  3.3531266945E-02  2.2193345460E+01
  3.5519871825E-02  2.1417936715E+01
  3.7626412879E-02  2.0648784169E+01
  3.9857884430E-02  1.9886166488E+01
  4.2221695603E-02  1.9130406898E+01
  4.4725694931E-02  1.8381873776E+01
  4.7378196411E-02  1.7640980889E+01
  5.0188007108E-02  1.6908187196E+01
  5.3164456402E-02  1.6183996176E+01
  5.6317426959E-02  1.5468954622E+01
  5.9657387547E-02  1.4763650837E+01
  6.3195427793E-02  1.4068712200E+01
  6.6943295008E-02  1.3384802038E+01
  7.0913433187E-02  1.2712615782E+01
  7.5119024330E-02  1.2052876373E+01
  7.9574032205E-02  1.1406328908E+01
  8.4293248720E-02  1.0773734521E+01
  8.9292343027E-02  1.0155863527E+01
  9.4587913557E-02  9.5534878562E+00
  1.0019754312E-01  8.9673728528E+00
  1.0613985731E-01  8.3982685071E+00
  1.1243458630E-01  7.8469002382E+00
  1.1910263040E-01  7.3139593551E+00
  1.2616612945E-01  6.8000933507E+00
  1.3364853627E-01  6.3058962048E+00
  1.4157469462E-01  5.8318988898E+00
  1.4997092161E-01  5.3785602870E+00
  1.5886509512E-01  4.9462587290E+00
  1.6828674638E-01  4.5352843877E+00
  1.7826715796E-01  4.1458327199E+00
  1.8883946770E-01  3.7779991715E+00
  2.0003877871E-01  3.4317753189E+00
  2.1190227591E-01  3.1070465965E+00
  2.2446934951E-01  2.8035917231E+00
  2.3778172582E-01  2.5210838957E+00
  2.5188360575E-01  2.2590937712E+00
  2.6682181158E-01  2.0170942020E+00
  2.8264594245E-01  1.7944666427E+00
  2.9940853902E-01  1.5905090879E+00
  3.1716525793E-01  1.4044453562E+00
  3.3597505657E-01  1.2354354926E+00
  3.5590038889E-01  1.0825870265E+00
  3.7700741270E-01  9.4496679881E-01
  3.9936620939E-01  8.2161305942E-01
  4.2305101659E-01  7.1154753457E-01
  4.4814047466E-01  6.1378717423E-01
  4.7471788779E-01  5.2735531156E-01
  5.0287150064E-01  4.5129199796E-01
  5.3269479129E-01  3.8466331600E-01
  5.6428678163E-01  3.2656951764E-01
  5.9775236613E-01  2.7615188291E-01
  6.3320266014E-01  2.3259824274E-01
  6.7075536883E-01  1.9514715675E-01
  7.1053517798E-01  1.6309077944E-01
  7.5267416796E-01  1.3577648616E-01
  7.9731225233E-01  1.1260736091E-01
  8.4459764235E-01  9.3041671470E-02
  8.9468733910E-01  7.6591472965E-02
  9.4774765474E-01  6.2820489399E-02
  1.0039547648E+00  5.1341424038E-02
  1.0634952929E+00  4.1812844995E-02
  1.1265669309E+00  3.3935783065E-02
  1.1933790946E+00  2.7450165788E-02
  1.2641536196E+00  2.2131196233E-02
  1.3391254976E+00  1.7785768131E-02
  1.4185436569E+00  1.4248991751E-02
  1.5026717885E+00  1.1380888135E-02
  1.5917892219E+00  9.0632936416E-03
  1.6861918527E+00  7.1970026333E-03
  1.7861931247E+00  5.6991638964E-03
  1.8921250708E+00  4.5009360882E-03
  2.0043394156E+00  3.5453992335E-03
  2.1232087428E+00  2.7857128889E-03
  2.2491277327E+00  2.1835069369E-03
  2.3825144727E+00  1.7074878271E-03
  2.5238118449E+00  1.3322412346E-03
  2.6734889972E+00  1.0372113100E-03
  2.8320429007E+00  8.0583672923E-04
  3.0000000000E+00  6.2482441526E-04
