 # Virial Mass [solar mass/h]  bMz at redshift
  1.4347202296E+05  7.1196946386E-01
  1.8400839023E+05  7.1205875361E-01
  2.3599784110E+05  7.1215730704E-01
  3.0267631238E+05  7.1226570077E-01
  3.8819401758E+05  7.1238455178E-01
  4.9787376522E+05  7.1251452079E-01
  6.3854226203E+05  7.1265631567E-01
  8.1895502210E+05  7.1281069542E-01
  1.0503413292E+06  7.1297847433E-01
  1.3471031717E+06  7.1316052660E-01
  1.7277116541E+06  7.1335779144E-01
  2.2158566785E+06  7.1357127856E-01
  2.8419214562E+06  7.1380207425E-01
  3.6448736244E+06  7.1405134806E-01
  4.6746906777E+06  7.1432036009E-01
  5.9954706759E+06  7.1461046900E-01
  7.6894218469E+06  7.1492314091E-01
  9.8619794069E+06  7.1525995905E-01
  1.2648368077E+07  7.1562263456E-01
  1.6222018767E+07  7.1601301825E-01
  2.0805363291E+07  7.1643311370E-01
  2.6683679009E+07  7.1688509166E-01
  3.4222845114E+07  7.1737130604E-01
  4.3892115751E+07  7.1789431157E-01
  5.6293327415E+07  7.1845688339E-01
  7.2198358572E+07  7.1906203881E-01
  9.2597173055E+07  7.1971306147E-01
  1.1875943757E+08  7.2041352817E-01
  1.5231354854E+08  7.2116733881E-01
  1.9534798701E+08  7.2197874967E-01
  2.5054131032E+08  7.2285241063E-01
  3.2132887129E+08  7.2379340670E-01
  4.1211664213E+08  7.2480730444E-01
  5.2855545174E+08  7.2590020401E-01
  6.7789270562E+08  7.2707879742E-01
  8.6942348021E+08  7.2835043402E-01
  1.1150690687E+09  7.2972319403E-01
  1.4301189884E+09  7.3120597131E-01
  1.8341826334E+09  7.3280856659E-01
  2.3524098065E+09  7.3454179275E-01
  3.0170560974E+09  7.3641759368E-01
  3.8694905409E+09  7.3844917879E-01
  4.9627705164E+09  7.4065117549E-01
  6.3649441542E+09  7.4303980215E-01
  8.1632858002E+09  7.4563306463E-01
  1.0469728161E+10  7.4845098012E-01
  1.3427829241E+10  7.5151583215E-01
  1.7221707703E+10  7.5485246192E-01
  2.2087502819E+10  7.5848860141E-01
  2.8328072290E+10  7.6245525511E-01
  3.6331842774E+10  7.6678713804E-01
  4.6596986404E+10  7.7152317942E-01
  5.9762428110E+10  7.7670710286E-01
  7.6647613704E+10  7.8238809578E-01
  9.8303513968E+10  7.8862158354E-01
  1.2607803937E+11  7.9547012622E-01
  1.6169993697E+11  8.0300445969E-01
  2.0738639136E+11  8.1130470661E-01
  2.6598102713E+11  8.2046178826E-01
  3.4113090222E+11  8.3057907382E-01
  4.3751350878E+11  8.4177431171E-01
  5.6112791049E+11  8.5418189596E-01
  7.1966813735E+11  8.6795553241E-01
  9.2300207892E+11  8.8327138236E-01
  1.1837856832E+12  9.0033177862E-01
  1.5182506907E+12  9.1936962885E-01
  1.9472149330E+12  9.4065364682E-01
  2.4973780802E+12  9.6449458326E-01
  3.2029834867E+12  9.9125266692E-01
  4.1079495723E+12  1.0213465149E+00
  5.2686033999E+12  1.0552638312E+00
  6.7571865958E+12  1.0935742887E+00
  8.6663518250E+12  1.1369450838E+00
  1.1114929696E+13  1.1861597720E+00
  1.4255325037E+13  1.2421411438E+00
  1.8283002903E+13  1.3059790873E+00
  2.3448654751E+13  1.3789646286E+00
  3.0073802020E+13  1.4626316481E+00
  3.8570808328E+13  1.5588081559E+00
  4.9468545882E+13  1.6696795212E+00
  6.3445313639E+13  1.7978666882E+00
  8.1371056112E+13  1.9465232464E+00
  1.0436151061E+14  2.1194562995E+00
  1.3384765318E+14  2.3212774779E+00
  1.7166476565E+14  2.5575922616E+00
  2.2016666759E+14  2.8352381745E+00
  2.8237222318E+14  3.1625855462E+00
  3.6215324189E+14  3.5499186799E+00
  4.6447546834E+14  4.0099207516E+00
  5.9570766112E+14  4.5582930429E+00
  7.6401799816E+14  5.2145488238E+00
  9.7988248199E+14  6.0030351648E+00
  1.2567369889E+15  6.9542533180E+00
  1.6118135474E+15  8.1065715618E+00
  2.0672128970E+15  9.5084555730E+00
  2.6512800866E+15  1.1221383135E+01
  3.4003687320E+15  1.3323665869E+01
  4.3611037447E+15  1.5915475390E+01
  5.5932833675E+15  1.9125471267E+01
  7.1736011478E+15  2.3119561553E+01
