 # Virial Mass [solar mass/h]  bnu at redshift
  1.9940858016E-01  7.1196946386E-01
  2.0238872612E-01  7.1205875361E-01
  2.0544698827E-01  7.1215730704E-01
  2.0858622015E-01  7.1226570077E-01
  2.1180940762E-01  7.1238455178E-01
  2.1511967616E-01  7.1251452079E-01
  2.1852029871E-01  7.1265631567E-01
  2.2201470403E-01  7.1281069542E-01
  2.2560648554E-01  7.1297847433E-01
  2.2929941080E-01  7.1316052660E-01
  2.3309743159E-01  7.1335779144E-01
  2.3700469469E-01  7.1357127856E-01
  2.4102555332E-01  7.1380207425E-01
  2.4516457945E-01  7.1405134806E-01
  2.4942657686E-01  7.1432036009E-01
  2.5381659515E-01  7.1461046900E-01
  2.5833994472E-01  7.1492314091E-01
  2.6300221277E-01  7.1525995905E-01
  2.6780928043E-01  7.1562263456E-01
  2.7276734115E-01  7.1601301825E-01
  2.7788292036E-01  7.1643311370E-01
  2.8316289657E-01  7.1688509166E-01
  2.8861452396E-01  7.1737130604E-01
  2.9424545671E-01  7.1789431157E-01
  3.0006377509E-01  7.1845688339E-01
  3.0607801345E-01  7.1906203881E-01
  3.1229719036E-01  7.1971306147E-01
  3.1873084109E-01  7.2041352817E-01
  3.2538905246E-01  7.2116733881E-01
  3.3228250047E-01  7.2197874967E-01
  3.3942249083E-01  7.2285241063E-01
  3.4682100271E-01  7.2379340670E-01
  3.5449073591E-01  7.2480730444E-01
  3.6244516186E-01  7.2590020401E-01
  3.7069857873E-01  7.2707879742E-01
  3.7926617107E-01  7.2835043402E-01
  3.8816407437E-01  7.2972319403E-01
  3.9740944496E-01  7.3120597131E-01
  4.0702053592E-01  7.3280856659E-01
  4.1701677935E-01  7.3454179275E-01
  4.2741887586E-01  7.3641759368E-01
  4.3824889176E-01  7.3844917879E-01
  4.4953036492E-01  7.4065117549E-01
  4.6128842006E-01  7.4303980215E-01
  4.7354989452E-01  7.4563306463E-01
  4.8634347549E-01  7.4845098012E-01
  4.9969985006E-01  7.5151583215E-01
  5.1365186937E-01  7.5485246192E-01
  5.2823472841E-01  7.5848860141E-01
  5.4348616327E-01  7.6245525511E-01
  5.5944666764E-01  7.6678713804E-01
  5.7615973096E-01  7.7152317942E-01
  5.9367210051E-01  7.7670710286E-01
  6.1203407047E-01  7.8238809578E-01
  6.3129980082E-01  7.8862158354E-01
  6.5152767008E-01  7.9547012622E-01
  6.7278066559E-01  8.0300445969E-01
  6.9512681631E-01  8.1130470661E-01
  7.1863967314E-01  8.2046178826E-01
  7.4339884297E-01  8.3057907382E-01
  7.6949058315E-01  8.4177431171E-01
  7.9700846417E-01  8.5418189596E-01
  8.2605410948E-01  8.6795553241E-01
  8.5673802240E-01  8.8327138236E-01
  8.8918051179E-01  9.0033177862E-01
  9.2351272954E-01  9.1936962885E-01
  9.5987783469E-01  9.4065364682E-01
  9.9843230148E-01  9.6449458326E-01
  1.0393473905E+00  9.9125266692E-01
  1.0828108052E+00  1.0213465149E+00
  1.1290285590E+00  1.0552638312E+00
  1.1782270815E+00  1.0935742887E+00
  1.2306555988E+00  1.1369450838E+00
  1.2865888231E+00  1.1861597720E+00
  1.3463299970E+00  1.2421411438E+00
  1.4102143398E+00  1.3059790873E+00
  1.4786129552E+00  1.3789646286E+00
  1.5519372651E+00  1.4626316481E+00
  1.6306440437E+00  1.5588081559E+00
  1.7152411414E+00  1.6696795212E+00
  1.8062939984E+00  1.7978666882E+00
  1.9044330661E+00  1.9465232464E+00
  2.0103622746E+00  2.1194562995E+00
  2.1248687065E+00  2.3212774779E+00
  2.2488336681E+00  2.5575922616E+00
  2.3832453804E+00  2.8352381745E+00
  2.5292135558E+00  3.1625855462E+00
  2.6879861740E+00  3.5499186799E+00
  2.8609688280E+00  4.0099207516E+00
  3.0497470809E+00  4.5582930429E+00
  3.2561123484E+00  5.2145488238E+00
  3.4820919102E+00  6.0030351648E+00
  3.7299837391E+00  6.9542533180E+00
  4.0023969266E+00  8.1065715618E+00
  4.3022985537E+00  9.5084555730E+00
  4.6330679029E+00  1.1221383135E+01
  4.9985589184E+00  1.3323665869E+01
  5.4031717939E+00  1.5915475390E+01
  5.8519345089E+00  1.9125471267E+01
  6.3505950493E+00  2.3119561553E+01
