 # k        T(k) 
  1.0000000000E-04  9.9978281148E-01
  1.0209606623E-04  9.9977375547E-01
  1.0423606740E-04  9.9976432519E-01
  1.0642092441E-04  9.9975450539E-01
  1.0865157747E-04  9.9974428021E-01
  1.1092898649E-04  9.9973363316E-01
  1.1325413152E-04  9.9972254710E-01
  1.1562801312E-04  9.9971100419E-01
  1.1805165286E-04  9.9969898592E-01
  1.2052609369E-04  9.9968647300E-01
  1.2305240044E-04  9.9967344543E-01
  1.2563166025E-04  9.9965988237E-01
  1.2826498305E-04  9.9964576221E-01
  1.3095350205E-04  9.9963106245E-01
  1.3369837418E-04  9.9961575973E-01
  1.3650078065E-04  9.9959982977E-01
  1.3936192742E-04  9.9958324734E-01
  1.4228304572E-04  9.9956598622E-01
  1.4526539259E-04  9.9954801919E-01
  1.4831025143E-04  9.9952931795E-01
  1.5141893253E-04  9.9950985311E-01
  1.5459277364E-04  9.9948959415E-01
  1.5783314057E-04  9.9946850936E-01
  1.6114142773E-04  9.9944656580E-01
  1.6451905878E-04  9.9942372930E-01
  1.6796748721E-04  9.9939996434E-01
  1.7148819699E-04  9.9937523407E-01
  1.7508270317E-04  9.9934950020E-01
  1.7875255259E-04  9.9932272300E-01
  1.8249932448E-04  9.9929486125E-01
  1.8632463119E-04  9.9926587213E-01
  1.9023011887E-04  9.9923571123E-01
  1.9421746815E-04  9.9920433245E-01
  1.9828839491E-04  9.9917168795E-01
  2.0244465100E-04  9.9913772812E-01
  2.0668802496E-04  9.9910240148E-01
  2.1102034286E-04  9.9906565463E-01
  2.1544346900E-04  9.9902743218E-01
  2.1995930680E-04  9.9898767669E-01
  2.2456979955E-04  9.9894632862E-01
  2.2927693129E-04  9.9890332620E-01
  2.3408272762E-04  9.9885860542E-01
  2.3898925662E-04  9.9881209992E-01
  2.4399862973E-04  9.9876374092E-01
  2.4911300261E-04  9.9871345713E-01
  2.5433457613E-04  9.9866117469E-01
  2.5966559729E-04  9.9860681709E-01
  2.6510836019E-04  9.9855030504E-01
  2.7066520700E-04  9.9849155644E-01
  2.7633852901E-04  9.9843048624E-01
  2.8213076759E-04  9.9836700640E-01
  2.8804441534E-04  9.9830102572E-01
  2.9408201706E-04  9.9823244984E-01
  3.0024617091E-04  9.9816118105E-01
  3.0653952951E-04  9.9808711827E-01
  3.1296480107E-04  9.9801015686E-01
  3.1952475058E-04  9.9793018861E-01
  3.2622220097E-04  9.9784710156E-01
  3.3306003436E-04  9.9776077992E-01
  3.4004119327E-04  9.9767110395E-01
  3.4716868189E-04  9.9757794986E-01
