 #  SO virial mass [solar mass]  red-shift  b 
  1.4347202296E+05  5.0000000000E-03  7.1178172441E-01
  1.4347202296E+05  5.3990051491E-03  7.1178260827E-01
  1.4347202296E+05  5.8298513201E-03  7.1178356427E-01
  1.4347202296E+05  6.2950794591E-03  7.1178459844E-01
  1.4347202296E+05  6.7974332828E-03  7.1178571733E-01
  1.4347202296E+05  7.3398754590E-03  7.1178692806E-01
  1.4347202296E+05  7.9256050794E-03  7.1178823839E-01
  1.4347202296E+05  8.5580765267E-03  7.1178965677E-01
  1.4347202296E+05  9.2410198469E-03  7.1179119240E-01
  1.4347202296E+05  9.9784627473E-03  7.1179285531E-01
  1.4347202296E+05  1.0774754351E-02  7.1179465646E-01
  1.4347202296E+05  1.1634590844E-02  7.1179660780E-01
  1.4347202296E+05  1.2563043175E-02  7.1179872240E-01
  1.4347202296E+05  1.3565586958E-02  7.1180101456E-01
  1.4347202296E+05  1.4648134767E-02  7.1180349991E-01
  1.4347202296E+05  1.5817071007E-02  7.1180619560E-01
  1.4347202296E+05  1.7079289562E-02  7.1180912043E-01
  1.4347202296E+05  1.8442234458E-02  7.1181229504E-01
  1.4347202296E+05  1.9913943760E-02  7.1181574212E-01
  1.4347202296E+05  2.1503096980E-02  7.1181948664E-01
  1.4347202296E+05  2.3219066263E-02  7.1182355609E-01
  1.4347202296E+05  2.5071971662E-02  7.1182798083E-01
  1.4347202296E+05  2.7072740821E-02  7.1183279436E-01
  1.4347202296E+05  2.9233173419E-02  7.1183803373E-01
  1.4347202296E+05  3.1566010763E-02  7.1184374002E-01
  1.4347202296E+05  3.4085010929E-02  7.1184995875E-01
  1.4347202296E+05  3.6805029903E-02  7.1185674053E-01
  1.4347202296E+05  3.9742109192E-02  7.1186414164E-01
  1.4347202296E+05  4.2913570433E-02  7.1187222484E-01
  1.4347202296E+05  4.6338117547E-02  7.1188106019E-01
  1.4347202296E+05  5.0035947047E-02  7.1189072603E-01
  1.4347202296E+05  5.4028867150E-02  7.1190131016E-01
  1.4347202296E+05  5.8340426388E-02  7.1191291112E-01
  1.4347202296E+05  6.2996052495E-02  7.1192563970E-01
  1.4347202296E+05  6.8023202359E-02  7.1193962076E-01
  1.4347202296E+05  7.3451523959E-02  7.1195499522E-01
  1.4347202296E+05  7.9313031213E-02  7.1197192248E-01
  1.4347202296E+05  8.5642292783E-02  7.1199058314E-01
  1.4347202296E+05  9.2476635943E-02  7.1201118232E-01
  1.4347202296E+05  9.9856366727E-02  7.1203395333E-01
  1.4347202296E+05  1.0782500763E-01  7.1205916215E-01
  1.4347202296E+05  1.1642955428E-01  7.1208711258E-01
  1.4347202296E+05  1.2572075261E-01  7.1211815227E-01
  1.4347202296E+05  1.3575339814E-01  7.1215267985E-01
  1.4347202296E+05  1.4658665911E-01  7.1219115323E-01
  1.4347202296E+05  1.5828442547E-01  7.1223409944E-01
  1.4347202296E+05  1.7091568562E-01  7.1228212613E-01
  1.4347202296E+05  1.8455493335E-01  7.1233593518E-01
  1.4347202296E+05  1.9928260709E-01  7.1239633863E-01
  1.4347202296E+05  2.1518556436E-01  7.1246427758E-01
  1.4347202296E+05  2.3235759400E-01  7.1254084439E-01
  1.4347202296E+05  2.5089996929E-01  7.1262730885E-01
  1.4347202296E+05  2.7092204523E-01  7.1272514914E-01
  1.4347202296E+05  2.9254190344E-01  7.1283608818E-01
  1.4347202296E+05  3.1588704860E-01  7.1296213665E-01
  1.4347202296E+05  3.4109516039E-01  7.1310564366E-01
  1.4347202296E+05  3.6831490545E-01  7.1326935634E-01
  1.4347202296E+05  3.9770681421E-01  7.1345649024E-01
  1.4347202296E+05  4.2944422755E-01  7.1367081208E-01
  1.4347202296E+05  4.6371431916E-01  7.1391673710E-01
  1.4347202296E+05  5.0071919938E-01  7.1419944374E-01
  1.4347202296E+05  5.4067710714E-01  7.1452500827E-01
  1.4347202296E+05  5.8382369709E-01  7.1490056320E-01
  1.4347202296E+05  6.3041342936E-01  7.1533448346E-01
  1.4347202296E+05  6.8072107024E-01  7.1583660521E-01
  1.4347202296E+05  7.3504331267E-01  7.1641848340E-01
  1.4347202296E+05  7.9370052598E-01  7.1709369488E-01
  1.4347202296E+05  8.5703864533E-01  7.1787819574E-01
  1.4347202296E+05  9.2543121183E-01  7.1879074312E-01
  1.4347202296E+05  9.9928157557E-01  7.1985339426E-01
  1.4347202296E+05  1.0790252744E+00  7.2109209788E-01
  1.4347202296E+05  1.1651326025E+00  7.2253739676E-01
  1.4347202296E+05  1.2581113840E+00  7.2422526388E-01
  1.4347202296E+05  1.3585099681E+00  7.2619810025E-01
  1.4347202296E+05  1.4669204626E+00  7.2850592782E-01
  1.4347202296E+05  1.5839822262E+00  7.3120781760E-01
  1.4347202296E+05  1.7103856391E+00  7.3437360271E-01
  1.4347202296E+05  1.8468761745E+00  7.3808593593E-01
  1.4347202296E+05  1.9942587952E+00  7.4244276193E-01
  1.4347202296E+05  2.1534027008E+00  7.4756029232E-01
  1.4347202296E+05  2.3252464539E+00  7.5357658704E-01
  1.4347202296E+05  2.5108035155E+00  7.6065586641E-01
  1.4347202296E+05  2.7111682218E+00  7.6899370973E-01
  1.4347202296E+05  2.9275222379E+00  7.7882331870E-01
  1.4347202296E+05  3.1611415273E+00  7.9042307387E-01
  1.4347202296E+05  3.4134038766E+00  8.0412564788E-01
  1.4347202296E+05  3.6857970212E+00  8.2032900590E-01
  1.4347202296E+05  3.9799274192E+00  8.3950968470E-01
  1.4347202296E+05  4.2975297259E+00  8.6223883273E-01
  1.4347202296E+05  4.6404770237E+00  8.8920158760E-01
  1.4347202296E+05  5.0107918691E+00  9.2122050295E-01
  1.4347202296E+05  5.4106582205E+00  9.5928386786E-01
  1.4347202296E+05  5.8424343185E+00  1.0045799757E+00
  1.4347202296E+05  6.3086665938E+00  1.0585385786E+00
  1.4347202296E+05  6.8121046848E+00  1.1228810854E+00
  1.4347202296E+05  7.3557176540E+00  1.1996813449E+00
  1.4347202296E+05  7.9427114979E+00  1.2914392776E+00
  1.4347202296E+05  8.5765480550E+00  1.4011701262E+00
  1.4347202296E+05  9.2609654221E+00  1.5325126368E+00
  1.4347202296E+05  1.0000000000E+01  1.6898602580E+00
  1.8400839023E+05  5.0000000000E-03  7.1185010916E-01
  1.8400839023E+05  5.3990051491E-03  7.1185108935E-01
  1.8400839023E+05  5.8298513201E-03  7.1185214943E-01
  1.8400839023E+05  6.2950794591E-03  7.1185329607E-01
  1.8400839023E+05  6.7974332828E-03  7.1185453648E-01
  1.8400839023E+05  7.3398754590E-03  7.1185587854E-01
  1.8400839023E+05  7.9256050794E-03  7.1185733080E-01
  1.8400839023E+05  8.5580765267E-03  7.1185890258E-01
  1.8400839023E+05  9.2410198469E-03  7.1186060401E-01
  1.8400839023E+05  9.9784627473E-03  7.1186244614E-01
  1.8400839023E+05  1.0774754351E-02  7.1186444104E-01
  1.8400839023E+05  1.1634590844E-02  7.1186660186E-01
  1.8400839023E+05  1.2563043175E-02  7.1186894295E-01
  1.8400839023E+05  1.3565586958E-02  7.1187148002E-01
  1.8400839023E+05  1.4648134767E-02  7.1187423025E-01
  1.8400839023E+05  1.5817071007E-02  7.1187721244E-01
