 # red-shift        mean bias all matter
  5.0000000000E-03  1.0000000000E+00
  5.3990051491E-03  1.0000000000E+00
  5.8298513201E-03  1.0000000000E+00
  6.2950794591E-03  1.0000000000E+00
  6.7974332828E-03  1.0000000000E+00
  7.3398754590E-03  1.0000000000E+00
  7.9256050794E-03  1.0000000000E+00
  8.5580765267E-03  1.0000000000E+00
  9.2410198469E-03  1.0000000000E+00
  9.9784627473E-03  1.0000000000E+00
  1.0774754351E-02  1.0000000000E+00
  1.1634590844E-02  1.0000000000E+00
  1.2563043175E-02  1.0000000000E+00
  1.3565586958E-02  1.0000000000E+00
  1.4648134767E-02  1.0000000000E+00
  1.5817071007E-02  1.0000000000E+00
  1.7079289562E-02  1.0000000000E+00
  1.8442234458E-02  1.0000000000E+00
  1.9913943760E-02  1.0000000000E+00
  2.1503096980E-02  1.0000000000E+00
  2.3219066263E-02  1.0000000000E+00
  2.5071971662E-02  1.0000000000E+00
  2.7072740821E-02  1.0000000000E+00
  2.9233173419E-02  1.0000000000E+00
  3.1566010763E-02  1.0000000000E+00
  3.4085010929E-02  1.0000000000E+00
  3.6805029903E-02  1.0000000000E+00
  3.9742109192E-02  1.0000000000E+00
  4.2913570433E-02  1.0000000000E+00
  4.6338117547E-02  1.0000000000E+00
  5.0035947047E-02  1.0000000000E+00
  5.4028867150E-02  9.9999999999E-01
  5.8340426388E-02  1.0000000000E+00
  6.2996052495E-02  1.0000000000E+00
  6.8023202359E-02  1.0000000000E+00
  7.3451523959E-02  1.0000000000E+00
  7.9313031213E-02  1.0000000000E+00
  8.5642292783E-02  1.0000000000E+00
  9.2476635943E-02  1.0000000000E+00
  9.9856366727E-02  1.0000000000E+00
  1.0782500763E-01  1.0000000000E+00
  1.1642955428E-01  1.0000000000E+00
  1.2572075261E-01  1.0000000000E+00
  1.3575339814E-01  1.0000000000E+00
  1.4658665911E-01  1.0000000000E+00
  1.5828442547E-01  1.0000000000E+00
  1.7091568562E-01  1.0000000000E+00
  1.8455493335E-01  1.0000000000E+00
  1.9928260709E-01  1.0000000000E+00
  2.1518556436E-01  1.0000000000E+00
  2.3235759400E-01  1.0000000000E+00
  2.5089996929E-01  1.0000000000E+00
  2.7092204523E-01  1.0000000000E+00
  2.9254190344E-01  1.0000000000E+00
  3.1588704860E-01  1.0000000000E+00
  3.4109516039E-01  1.0000000000E+00
  3.6831490545E-01  1.0000000000E+00
  3.9770681421E-01  1.0000000000E+00
  4.2944422755E-01  1.0000000000E+00
  4.6371431916E-01  1.0000000000E+00
  5.0071919938E-01  1.0000000000E+00
  5.4067710714E-01  1.0000000000E+00
  5.8382369709E-01  1.0000000000E+00
  6.3041342936E-01  1.0000000000E+00
  6.8072107024E-01  1.0000000000E+00
  7.3504331267E-01  1.0000000000E+00
  7.9370052598E-01  1.0000000000E+00
  8.5703864533E-01  1.0000000000E+00
  9.2543121183E-01  1.0000000000E+00
  9.9928157557E-01  1.0000000000E+00
  1.0790252744E+00  1.0000000000E+00
  1.1651326025E+00  1.0000000000E+00
  1.2581113840E+00  1.0000000000E+00
  1.3585099681E+00  1.0000000000E+00
  1.4669204626E+00  1.0000000000E+00
  1.5839822262E+00  1.0000000000E+00
  1.7103856391E+00  1.0000000000E+00
  1.8468761745E+00  1.0000000000E+00
  1.9942587952E+00  1.0000000000E+00
  2.1534027008E+00  1.0000000000E+00
  2.3252464539E+00  1.0000000000E+00
  2.5108035155E+00  1.0000000000E+00
  2.7111682218E+00  1.0000000000E+00
  2.9275222379E+00  1.0000000000E+00
  3.1611415273E+00  1.0000000000E+00
  3.4134038766E+00  1.0000000000E+00
  3.6857970212E+00  1.0000000000E+00
  3.9799274192E+00  1.0000000000E+00
  4.2975297259E+00  1.0000000000E+00
  4.6404770237E+00  1.0000000000E+00
  5.0107918691E+00  1.0000000000E+00
  5.4106582205E+00  9.9999999999E-01
  5.8424343185E+00  9.9999999998E-01
  6.3086665938E+00  1.0000000000E+00
  6.8121046848E+00  9.9999999999E-01
  7.3557176540E+00  1.0000000000E+00
  7.9427114979E+00  1.0000000000E+00
  8.5765480550E+00  1.0000000000E+00
  9.2609654221E+00  9.9999999999E-01
  1.0000000000E+01  1.0000000000E+00
