 #  virial mass [solar mass]    red-shift        dndM 
  1.4347202296E+05  5.0000000000E-03  2.4596553628E-02
  1.4347202296E+05  5.3990051491E-03  2.4604779389E-02
  1.4347202296E+05  5.8298513201E-03  2.4613664501E-02
  1.4347202296E+05  6.2950794591E-03  2.4623262070E-02
  1.4347202296E+05  6.7974332828E-03  2.4633629528E-02
  1.4347202296E+05  7.3398754590E-03  2.4644828927E-02
  1.4347202296E+05  7.9256050794E-03  2.4656927472E-02
  1.4347202296E+05  8.5580765267E-03  2.4669997751E-02
  1.4347202296E+05  9.2410198469E-03  2.4684118386E-02
  1.4347202296E+05  9.9784627473E-03  2.4699374375E-02
  1.4347202296E+05  1.0774754351E-02  2.4715857731E-02
  1.4347202296E+05  1.1634590844E-02  2.4733667992E-02
  1.4347202296E+05  1.2563043175E-02  2.4752912980E-02
  1.4347202296E+05  1.3565586958E-02  2.4773709367E-02
  1.4347202296E+05  1.4648134767E-02  2.4796183514E-02
  1.4347202296E+05  1.5817071007E-02  2.4820472275E-02
  1.4347202296E+05  1.7079289562E-02  2.4846723901E-02
  1.4347202296E+05  1.8442234458E-02  2.4875099053E-02
  1.4347202296E+05  1.9913943760E-02  2.4905771788E-02
  1.4347202296E+05  2.1503096980E-02  2.4938930896E-02
  1.4347202296E+05  2.3219066263E-02  2.4974781034E-02
  1.4347202296E+05  2.5071971662E-02  2.5013544185E-02
  1.4347202296E+05  2.7072740821E-02  2.5055461216E-02
  1.4347202296E+05  2.9233173419E-02  2.5100793568E-02
  1.4347202296E+05  3.1566010763E-02  2.5149824998E-02
  1.4347202296E+05  3.4085010929E-02  2.5202863740E-02
  1.4347202296E+05  3.6805029903E-02  2.5260244625E-02
  1.4347202296E+05  3.9742109192E-02  2.5322331506E-02
  1.4347202296E+05  4.2913570433E-02  2.5389519985E-02
  1.4347202296E+05  4.6338117547E-02  2.5462240223E-02
  1.4347202296E+05  5.0035947047E-02  2.5540960257E-02
  1.4347202296E+05  5.4028867150E-02  2.5626189383E-02
  1.4347202296E+05  5.8340426388E-02  2.5718482117E-02
  1.4347202296E+05  6.2996052495E-02  2.5818442382E-02
  1.4347202296E+05  6.8023202359E-02  2.5926728153E-02
  1.4347202296E+05  7.3451523959E-02  2.6044056711E-02
  1.4347202296E+05  7.9313031213E-02  2.6171210221E-02
  1.4347202296E+05  8.5642292783E-02  2.6309042370E-02
  1.4347202296E+05  9.2476635943E-02  2.6458485255E-02
  1.4347202296E+05  9.9856366727E-02  2.6620557181E-02
  1.4347202296E+05  1.0782500763E-01  2.6796370989E-02
  1.4347202296E+05  1.1642955428E-01  2.6987143098E-02
  1.4347202296E+05  1.2572075261E-01  2.7194202755E-02
  1.4347202296E+05  1.3575339814E-01  2.7419002601E-02
  1.4347202296E+05  1.4658665911E-01  2.7663129391E-02
  1.4347202296E+05  1.5828442547E-01  2.7928315752E-02
  1.4347202296E+05  1.7091568562E-01  2.8216453463E-02
  1.4347202296E+05  1.8455493335E-01  2.8529607980E-02
  1.4347202296E+05  1.9928260709E-01  2.8870033439E-02
  1.4347202296E+05  2.1518556436E-01  2.9240192129E-02
  1.4347202296E+05  2.3235759400E-01  2.9642779716E-02
  1.4347202296E+05  2.5089996929E-01  3.0080743403E-02
  1.4347202296E+05  2.7092204523E-01  3.0557291505E-02
  1.4347202296E+05  2.9254190344E-01  3.1075903678E-02
  1.4347202296E+05  3.1588704860E-01  3.1640348431E-02
  1.4347202296E+05  3.4109516039E-01  3.2254717365E-02
  1.4347202296E+05  3.6831490545E-01  3.2923474248E-02
  1.4347202296E+05  3.9770681421E-01  3.3651461539E-02
  1.4347202296E+05  4.2944422755E-01  3.4443889770E-02
  1.4347202296E+05  4.6371431916E-01  3.5306367075E-02
  1.4347202296E+05  5.0071919938E-01  3.6244932237E-02
  1.4347202296E+05  5.4067710714E-01  3.7266073055E-02
  1.4347202296E+05  5.8382369709E-01  3.8376657397E-02
  1.4347202296E+05  6.3041342936E-01  3.9584006003E-02
  1.4347202296E+05  6.8072107024E-01  4.0895951837E-02
  1.4347202296E+05  7.3504331267E-01  4.2320766693E-02
  1.4347202296E+05  7.9370052598E-01  4.3867168674E-02
  1.4347202296E+05  8.5703864533E-01  4.5544221426E-02
  1.4347202296E+05  9.2543121183E-01  4.7361330799E-02
  1.4347202296E+05  9.9928157557E-01  4.9328387721E-02
  1.4347202296E+05  1.0790252744E+00  5.1455652946E-02
  1.4347202296E+05  1.1651326025E+00  5.3753522058E-02
  1.4347202296E+05  1.2581113840E+00  5.6232532368E-02
  1.4347202296E+05  1.3585099681E+00  5.8903628261E-02
  1.4347202296E+05  1.4669204626E+00  6.1777840859E-02
  1.4347202296E+05  1.5839822262E+00  6.4865839543E-02
  1.4347202296E+05  1.7103856391E+00  6.8178618072E-02
  1.4347202296E+05  1.8468761745E+00  7.1726940135E-02
  1.4347202296E+05  1.9942587952E+00  7.5520722111E-02
  1.4347202296E+05  2.1534027008E+00  7.9569987088E-02
  1.4347202296E+05  2.3252464539E+00  8.3883322476E-02
  1.4347202296E+05  2.5108035155E+00  8.8468306492E-02
  1.4347202296E+05  2.7111682218E+00  9.3331099284E-02
  1.4347202296E+05  2.9275222379E+00  9.8474941233E-02
  1.4347202296E+05  3.1611415273E+00  1.0390106423E-01
  1.4347202296E+05  3.4134038766E+00  1.0960575466E-01
  1.4347202296E+05  3.6857970212E+00  1.1558176377E-01
  1.4347202296E+05  3.9799274192E+00  1.2181459026E-01
  1.4347202296E+05  4.2975297259E+00  1.2828402331E-01
  1.4347202296E+05  4.6404770237E+00  1.3496015158E-01
  1.4347202296E+05  5.0107918691E+00  1.4180483407E-01
  1.4347202296E+05  5.4106582205E+00  1.3577703419E-01
  1.4347202296E+05  5.8424343185E+00  1.7682972295E-02
  1.4347202296E+05  6.3086665938E+00  1.5777895776E-03
  1.4347202296E+05  6.8121046848E+00  2.1847887067E-04
  1.4347202296E+05  7.3557176540E+00  4.3224905202E-05
  1.4347202296E+05  7.9427114979E+00  1.1016671176E-05
  1.4347202296E+05  8.5765480550E+00  3.3581843681E-06
  1.4347202296E+05  9.2609654221E+00  1.6315589155E-06
  1.4347202296E+05  1.0000000000E+01  5.9065892201E-07
  1.8400839023E+05  5.0000000000E-03  1.5215815891E-02
  1.8400839023E+05  5.3990051491E-03  1.5220876253E-02
  1.8400839023E+05  5.8298513201E-03  1.5226342241E-02
  1.8400839023E+05  6.2950794591E-03  1.5232246509E-02
  1.8400839023E+05  6.7974332828E-03  1.5238624380E-02
  1.8400839023E+05  7.3398754590E-03  1.5245514034E-02
  1.8400839023E+05  7.9256050794E-03  1.5252956809E-02
  1.8400839023E+05  8.5580765267E-03  1.5260997337E-02
  1.8400839023E+05  9.2410198469E-03  1.5269684012E-02
  1.8400839023E+05  9.9784627473E-03  1.5279069071E-02
  1.8400839023E+05  1.0774754351E-02  1.5289209145E-02
  1.8400839023E+05  1.1634590844E-02  1.5300165462E-02
  1.8400839023E+05  1.2563043175E-02  1.5312004331E-02
  1.8400839023E+05  1.3565586958E-02  1.5324797485E-02
  1.8400839023E+05  1.4648134767E-02  1.5338622676E-02
  1.8400839023E+05  1.5817071007E-02  1.5353564065E-02
  1.8400839023E+05  1.7079289562E-02  1.5369712832E-02
  1.8400839023E+05  1.8442234458E-02  1.5387167755E-02
  1.8400839023E+05  1.9913943760E-02  1.5406035943E-02
  1.8400839023E+05  2.1503096980E-02  1.5426433436E-02
  1.8400839023E+05  2.3219066263E-02  1.5448486124E-02
  1.8400839023E+05  2.5071971662E-02  1.5472330494E-02
  1.8400839023E+05  2.7072740821E-02  1.5498114684E-02
  1.8400839023E+05  2.9233173419E-02  1.5525999408E-02
  1.8400839023E+05  3.1566010763E-02  1.5556159196E-02
  1.8400839023E+05  3.4085010929E-02  1.5588783542E-02
  1.8400839023E+05  3.6805029903E-02  1.5624078302E-02
  1.8400839023E+05  3.9742109192E-02  1.5662267187E-02
  1.8400839023E+05  4.2913570433E-02  1.5703593374E-02
  1.8400839023E+05  4.6338117547E-02  1.5748321293E-02
  1.8400839023E+05  5.0035947047E-02  1.5796738646E-02
  1.8400839023E+05  5.4028867150E-02  1.5849158437E-02
  1.8400839023E+05  5.8340426388E-02  1.5905921493E-02
  1.8400839023E+05  6.2996052495E-02  1.5967398951E-02
  1.8400839023E+05  6.8023202359E-02  1.6033995139E-02
  1.8400839023E+05  7.3451523959E-02  1.6106150782E-02
  1.8400839023E+05  7.9313031213E-02  1.6184346476E-02
  1.8400839023E+05  8.5642292783E-02  1.6269106606E-02
  1.8400839023E+05  9.2476635943E-02  1.6361003730E-02
  1.8400839023E+05  9.9856366727E-02  1.6460663267E-02
  1.8400839023E+05  1.0782500763E-01  1.6568768649E-02
  1.8400839023E+05  1.1642955428E-01  1.6686066720E-02
  1.8400839023E+05  1.2572075261E-01  1.6813373503E-02
  1.8400839023E+05  1.3575339814E-01  1.6951580643E-02
